Duration,Pulse,Maxpulse,Calories
60,110,130,409.1
60,117,145,479
60,103,135,340
45,109,175,282.4
45,117,148,406
60,102,127,300
60,110,136,374
45,104,134,253.3
30,109,133,195.1
60,98,124,269
60,103,147,329.3
60,100,120,250.7
60,106,128,345.3
60,104,132,379.3
60,98,123,275
60,98,120,215.2
60,100,120,300
45,90,112,
60,103,123,323
45,97,125,243
60,108,131,364.2
45,100,119,282
60,130,101,300
45,105,132,246
60,102,126,334.5
60,100,120,250
60,92,118,241
60,103,132,
60,100,132,280
60,102,129,380.3
60,92,115,243
45,90,112,180.1
60,101,124,299
60,93,113,223
60,107,136,361
60,114,140,415
60,102,127,300
60,100,120,300
60,100,120,300
45,104,129,266
45,90,112,180.1
60,98,126,286
60,100,122,329.4
60,111,138,400
60,111,131,397
60,99,119,273
60,109,153,387.6
45,111,136,300
45,108,129,298
60,111,139,397.6
60,107,136,380.2
80,123,146,643.1
60,106,130,263
60,118,151,486
30,136,175,238
60,121,146,450.7
60,118,121,413
45,115,144,305
20,153,172,226.4
45,123,152,321
210,108,160,1376
160,110,137,1034.4
160,109,135,853
45,118,141,341
20,110,130,131.4
180,90,130,800.4
150,105,135,873.4
150,107,130,816
20,106,136,110.4
300,108,143,1500.2
150,97,129,1115
60,109,153,387.6
90,100,127,700
150,97,127,953.2
45,114,146,304
90,98,125,563.2
45,105,134,251
45,110,141,300
120,100,130,500.4
270,100,131,1729
30,159,182,319.2
45,149,169,344
30,103,139,151.1
120,100,130,500
45,100,120,225.3
30,151,170,300
45,102,136,234
120,100,157,1000.1
45,129,103,242
20,83,107,50.3
180,101,127,600.1
45,107,137,
30,90,107,105.3
15,80,100,50.5
20,150,171,127.4
20,151,168,229.4
30,95,128,128.2
25,152,168,244.2
30,109,131,188.2
